target_rpm,sensor_id,dominant_frequency_hz,dominant_order,dominant_amplitude_um,one_x_amplitude_um
5000.0,ACC1,83.33333333333333,0.9999990839462746,0.13638640584461612,0.13638640584461612
6000.0,ACC1,100.0,0.9999996666667778,0.08305355208537257,0.08305355208537257
7000.0,ACC1,116.66666666666667,1.0000004181899687,0.06338580288716093,0.06338580288716093
8000.0,ACC1,48.81666666666666,0.366126090171996,0.039764108485694304,0.0193361550695965
5000.0,ACC2,40.18333333333333,0.48219955827889355,0.015691504941130998,0.004991211384991919
6000.0,ACC2,100.0,0.9999996666667778,0.034330885051291726,0.034330885051291726
7000.0,ACC2,116.66666666666667,1.0000004181899687,0.2608822112991388,0.2608822112991388
8000.0,ACC2,133.33333333333334,1.000002977595073,0.11778705643198774,0.11778705643198774
5000.0,ACC3,83.33333333333333,0.9999990839462746,0.1496173102001009,0.1496173102001009
6000.0,ACC3,100.0,0.9999996666667778,0.14105608525450328,0.14105608525450328
7000.0,ACC3,116.66666666666667,1.0000004181899687,0.4980127201362327,0.4980127201362327
8000.0,ACC3,133.33333333333334,1.000002977595073,0.2039869682185972,0.2039869682185972
