run,target_rpm,created_at_local,hold_block_start_s,hold_block_end_s,analysis_window_start_s,analysis_window_end_s,analysis_duration_s,sample_count_per_channel,segment_files_used,files_used_first_last,actual_speed_mean_rpm,actual_speed_std_rpm,actual_speed_min_rpm,actual_speed_max_rpm,speed_ok_ratio,current_mean_a,current_std_a,front_bearing_rms_g_mean,front_bearing_mean_abs_g_mean,front_bearing_peak_abs_g_max,front_bearing_high_band_ratio_mean,front_bearing_1x_amp_g_mean,front_bearing_env_1x_amp_g_mean,front_bearing_dominant_freq_hz_mean,bench_rms_g,bench_high_band_ratio,all_channels_rms_g_mean,all_channels_peak_abs_g_max,max_crest_factor,max_kurtosis,dominant_frequency_by_sensor
run_20260707_5000rpm_10min,5000.0,2026-07-07T20:23:57,45.06199999999808,644.5159999999996,584.5159999999996,644.5159999999996,59.999960937499964,1536000,7,000059_segment_acceleration_25600Hz_256000samples_start14848000.npz.xz .. 000065_segment_acceleration_25600Hz_256000samples_start16384000.npz.xz,4999.9978645833335,0.412341033000193,4998.93,5001.03,0.6770833333333334,0.009375,0.4896540285837883,0.1442485527962528,0.11842952230653261,0.7621356847,0.283422480549846,0.001976152544676631,0.029332866494314984,4095.3499999999995,0.047079742759704404,0.9307699923734174,0.11185894945073666,0.7621356847,4.50957109522943,3.129001262620687,ACC1=4357.4Hz; ACC2=3833.3Hz; ACC3=6067.0Hz
run_20260707_6000rpm_9min,6000.0,2026-07-07T20:11:18,55.53199999999924,595.3129999999983,535.3129999999983,595.3129999999983,59.999960937499964,1536000,7,000054_segment_acceleration_25600Hz_256000samples_start13568000.npz.xz .. 000060_segment_acceleration_25600Hz_256000samples_start15104000.npz.xz,5999.993809523809,0.4416915664910202,5998.74,6001.13,0.9226190476190477,-0.07059523809523809,0.5985604778897534,0.07885994511345062,0.06323848652389329,0.61145293972,0.5269992229143472,0.0023627498808515826,0.011753992123507898,4716.133333333333,0.06171787920598242,0.9491693946621698,0.07314592314429456,0.61145293972,7.4783949894401855,3.215668737919317,ACC1=4203.2Hz; ACC2=5229.0Hz; ACC3=7080.6Hz
run_20260707_6000rpm_10min_reset,6000.0,2026-07-07T21:07:14,55.88999999999942,655.7340000000004,595.7340000000004,655.7340000000004,59.999960937499964,1536000,7,000060_segment_acceleration_25600Hz_256000samples_start15104000.npz.xz .. 000066_segment_acceleration_25600Hz_256000samples_start16640000.npz.xz,6000.02757475083,0.4205570169967112,5998.8,6001.2,0.8903654485049833,0.01750830564784053,0.523976715864575,0.07175720238958581,0.05764253788317378,0.5266477687100001,0.5425177262720673,0.003304182662457019,0.011517088629004612,4716.275,0.058377261396062675,0.948033034986003,0.06729722205841143,0.5266477687100001,6.984402095230966,3.2158162182009917,ACC1=4203.4Hz; ACC2=5229.2Hz; ACC3=7080.8Hz
run_20260707_6000rpm_10min_20℃,6000.0,2026-07-07T21:27:37,55.34400000000096,654.5159999999996,594.5159999999996,654.5159999999996,59.999960937499964,1536000,7,000060_segment_acceleration_25600Hz_256000samples_start15104000.npz.xz .. 000066_segment_acceleration_25600Hz_256000samples_start16640000.npz.xz,5999.935592105263,0.4287692508377479,5998.93,6001.36,0.881578947368421,-0.05105263157894737,0.5276526442835197,0.08190328869440919,0.06705557004209568,0.46496045660000007,0.7179887488303924,0.0020526171607390528,0.008838928790830656,5229.35,0.057294500089580584,0.944708829148074,0.07370035915946632,0.46496045660000007,5.975585326451655,2.945588126816234,ACC1=5229.4Hz; ACC2=5229.4Hz; ACC3=7081.1Hz
run_20260707_6000rpm_10min_24℃,6000.0,2026-07-07T21:50:58,55.1720000000023,654.405999999999,594.405999999999,654.405999999999,59.999960937499964,1536000,7,000060_segment_acceleration_25600Hz_256000samples_start15104000.npz.xz .. 000066_segment_acceleration_25600Hz_256000samples_start16640000.npz.xz,5999.930189873418,0.4016193038362219,5998.9400000000005,6001.01,0.8860759493670886,-0.039430379746835435,0.5604137753333692,0.06728907661691602,0.05417162361101644,0.45609682108000005,0.4102299921200394,0.003782299365922624,0.005867094620954232,4715.841666666666,0.05656017801276065,0.9368239180580361,0.06371277708219757,0.45609682108000005,8.200604317083954,2.857454379394389,ACC1=4203.0Hz; ACC2=5228.7Hz; ACC3=7080.2Hz
run_20260707_6000rpm_10min_wo,6000.0,2026-07-07T22:04:16,56.09400000000096,655.7029999999977,595.7029999999977,655.7029999999977,59.999960937499964,1536000,7,000060_segment_acceleration_25600Hz_256000samples_start15104000.npz.xz .. 000066_segment_acceleration_25600Hz_256000samples_start16640000.npz.xz,6000.021428571429,0.4692764730553558,5998.88,6001.24,0.8775510204081632,-0.08687074829931972,0.5631710542590256,0.0744923172085502,0.060097894626844346,0.4680792047200001,0.39207712826375474,0.0013732791738962585,0.008388205562424074,4202.883333333333,0.04724962715506505,0.927785300406987,0.06541142052405514,0.4680792047200001,5.2574276431777225,2.8592142962519262,ACC1=4202.9Hz; ACC2=4202.9Hz; ACC3=7080.1Hz
run_20260707_6000rpm_10min_reset_spindle,6000.0,2026-07-07T22:21:56,55.34400000000096,654.719000000001,594.719000000001,654.719000000001,59.999960937499964,1536000,7,000060_segment_acceleration_25600Hz_256000samples_start15104000.npz.xz .. 000066_segment_acceleration_25600Hz_256000samples_start16640000.npz.xz,5999.953675675677,0.43622273346547963,5999.01,6000.89,0.8810810810810811,-0.011567567567567561,0.5682226695507498,0.07968437043754334,0.06403681207880307,0.5282462333300001,0.6646283045464259,0.002383463130748691,0.014420965387769807,5229.35,0.05738990939653217,0.9372659348142471,0.07225288342387294,0.5282462333300001,5.963011638661667,2.960982857911008,ACC1=5229.4Hz; ACC2=5229.4Hz; ACC3=7081.0Hz
run_20260707_6000rpm_10min_wo_load,6000.0,2026-07-07T22:39:06,55.07800000000134,654.2659999999996,594.2659999999996,654.2659999999996,59.999960937499964,1536000,7,000060_segment_acceleration_25600Hz_256000samples_start15104000.npz.xz .. 000066_segment_acceleration_25600Hz_256000samples_start16640000.npz.xz,5999.983586956521,0.5950293772830522,5998.6,6001.38,0.875,0.0791304347826087,0.4999796782259669,0.08261137895549323,0.06660457464725415,0.7052742715,0.7035726968332634,0.0005969042178147038,0.010093745136632396,5229.2,0.06334662640233833,0.9617673303226771,0.07618979477110827,0.7052742715,7.63847582573738,2.915529668479915,ACC1=5229.2Hz; ACC2=5229.2Hz; ACC3=5229.2Hz
run_20260707_7000rpm_10min,7000.0,2026-07-07T20:36:03,65.64100000000326,664.844000000001,604.844000000001,664.844000000001,59.999960937499964,1536000,7,000061_segment_acceleration_25600Hz_256000samples_start15360000.npz.xz .. 000067_segment_acceleration_25600Hz_256000samples_start16896000.npz.xz,7000.00549222798,0.6022573178323332,6998.71,7001.38,1.0,-0.171139896373057,0.5380744272285155,0.06752833986013831,0.053749760731601925,0.55309677907,0.23895964109439854,0.008883811278224744,0.0063106611612881065,3118.875,0.0851760681303158,0.9225579925105688,0.07341091595019748,0.55309677907,8.637944823552955,3.073644303133528,ACC1=2037.8Hz; ACC2=4200.0Hz; ACC3=7064.4Hz
run_20260707_8000rpm_10min,8000.0,2026-07-07T20:49:35,75.82800000000134,675.719000000001,615.719000000001,675.719000000001,59.999960937499964,1536000,7,000062_segment_acceleration_25600Hz_256000samples_start15616000.npz.xz .. 000068_segment_acceleration_25600Hz_256000samples_start17152000.npz.xz,7999.979234972679,0.6767537141357687,7998.55,8001.45,0.9972677595628415,0.010928961748633892,0.6090476399596767,0.08407525230595811,0.06756927474323932,0.47760898234000004,0.15922491636425484,0.004906706006431737,0.005767468828685617,2599.0583333333334,0.04914299841972059,0.809852482974717,0.07243116767721226,0.47760898234000004,6.409461773519167,2.9863478702926733,ACC1=2869.0Hz; ACC2=2329.1Hz; ACC3=2329.1Hz
