run,target_rpm,actual_speed_mean_rpm,rotating_frequency_hz,sensor_id,dominant_frequency_hz,dominant_order,dominant_velocity_amp_mm_s,one_x_velocity_amp_mm_s,two_x_velocity_amp_mm_s,three_x_velocity_amp_mm_s
run_20260707_5000rpm_10min,5000.0,5000.004580272823,83.33340967121372,ACC1,83.33333333333333,0.9999990839462746,0.07141119848375505,0.07141119848375505,0.0035351325865017194,0.0009862237645002652
run_20260707_6000rpm_9min,6000.0,6000.002,100.00003333333333,ACC1,100.0,0.9999996666667778,0.05218396818263178,0.05218396818263178,0.004700583231029075,0.01010318339491832
run_20260707_7000rpm_10min,7000.0,6999.997072671444,116.66661787785739,ACC1,116.66666666666667,1.0000004181899687,0.04646382472628528,0.04646382472628528,0.005708771088355253,0.016515736856814085
run_20260707_8000rpm_10min,8000.0,7999.976179310345,133.3329363218391,ACC1,133.33333333333334,1.000002977595073,0.016198882437618408,0.016198882437618408,0.007604352477208959,0.009860473651905703
run_20260707_5000rpm_10min,5000.0,5000.004580272823,83.33340967121372,ACC2,666.6666666666666,7.999992671570197,0.012489530780767201,0.002613372056879877,0.0026063206777731823,0.0032794689423621495
run_20260707_6000rpm_9min,6000.0,6000.002,100.00003333333333,ACC2,100.0,0.9999996666667778,0.021570692877973797,0.021570692877973797,0.0027989242294337554,0.003930154791720612
run_20260707_7000rpm_10min,7000.0,6999.997072671444,116.66661787785739,ACC2,116.66666666666667,1.0000004181899687,0.1912350105300475,0.1912350105300475,0.001977552449954764,0.006257793928533121
run_20260707_8000rpm_10min,8000.0,7999.976179310345,133.3329363218391,ACC2,133.33333333333334,1.000002977595073,0.09867620165064662,0.09867620165064662,0.01714257753566835,0.010392495389067644
run_20260707_5000rpm_10min,5000.0,5000.004580272823,83.33340967121372,ACC3,83.33333333333333,0.9999990839462746,0.07833882711357908,0.07833882711357908,0.002180682258742759,0.00037518064475677236
run_20260707_6000rpm_9min,6000.0,6000.002,100.00003333333333,ACC3,100.0,0.9999996666667778,0.08862792975409724,0.08862792975409724,0.002158402973893856,0.003930122449800371
run_20260707_7000rpm_10min,7000.0,6999.997072671444,116.66661787785739,ACC3,116.66666666666667,1.0000004181899687,0.36505926460270194,0.36505926460270194,0.003213707212319143,0.0055292909671142455
run_20260707_8000rpm_10min,8000.0,7999.976179310345,133.3329363218391,ACC3,133.33333333333334,1.000002977595073,0.17089024793900354,0.17089024793900354,0.030444134706977682,0.0060585708708109165
